borrower_score,payment_inc_ratio,outcome
0.416,14.5,default
0.485,3.78,paid off
0.369,5.02,paid off
0.736,7.51,paid off
0.77,6.88,paid off
0.381,10.65,default
0.614,6.72,default
0.693,6.35,default
0.414,4.49,paid off
0.352,7.45,default
0.312,15.55,default
0.517,9.03,default
0.446,8.46,paid off
0.244,14.16,default
0.737,3.87,paid off
0.673,4.19,paid off
0.42,14.04,default
0.39,12.47,default
0.489,4.33,paid off
0.491,2.36,paid off
0.69,4.54,paid off
0.622,3.79,paid off
0.339,18.02,default
0.404,12.34,default
0.526,9.38,default
0.521,7.56,default
0.46,13.87,default
0.671,4.0,paid off
0.516,11.46,default
0.633,4.32,paid off
0.777,4.96,paid off
0.538,8.85,paid off
0.486,12.11,default
0.369,6.19,default
0.359,6.45,default
0.462,14.33,default
0.562,8.53,paid off
0.399,11.56,default
0.647,4.72,paid off
0.301,6.85,default
0.304,20.0,default
0.716,6.99,paid off
0.672,3.52,paid off
0.349,6.4,default
0.67,2.71,paid off
0.332,7.23,default
0.727,7.16,paid off
0.419,18.58,default
0.431,3.06,paid off
0.575,4.09,paid off
0.517,5.55,paid off
0.764,5.02,paid off
0.716,4.97,paid off
0.696,10.31,paid off
0.475,3.36,paid off
0.428,6.24,paid off
0.676,4.39,paid off
0.668,2.58,paid off
0.718,1.54,paid off
0.313,18.01,default
0.411,4.49,default
0.573,5.06,paid off
0.316,7.41,default
0.768,3.87,paid off
0.492,15.14,default
0.652,6.88,paid off
0.637,6.52,paid off
0.465,11.31,default
0.264,7.25,default
0.725,7.83,paid off
0.273,6.95,default
0.534,4.61,paid off
0.653,5.92,paid off
0.695,2.48,paid off
0.521,11.15,default
0.355,10.49,default
0.43,12.25,default
0.7,7.97,paid off
0.393,5.36,paid off
0.681,4.67,paid off
0.631,3.48,paid off
0.65,9.33,paid off
0.644,4.45,paid off
0.61,7.71,paid off
0.57,1.45,paid off
0.742,6.12,paid off
0.682,1.87,paid off
0.613,1.45,paid off
0.471,8.62,default
0.446,9.79,default
0.66,7.83,paid off
0.52,3.11,paid off
0.719,5.91,paid off
0.431,8.11,default
0.426,7.25,default
0.47,11.41,default
0.393,9.92,default
0.624,4.94,paid off
0.364,5.43,paid off
0.634,2.74,paid off
0.738,7.01,paid off
0.378,16.11,default
0.464,6.68,default
0.623,2.75,paid off
0.571,4.2,paid off
0.594,2.3,paid off
0.344,20.0,default
0.502,16.31,default
0.524,7.73,paid off
0.628,6.24,paid off
0.382,18.58,default
0.288,12.4,default
0.539,1.47,paid off
0.644,5.51,paid off
0.787,3.77,paid off
0.475,9.59,default
0.648,9.39,paid off
0.408,9.59,default
0.672,3.39,paid off
0.257,10.54,default
0.362,5.65,default
0.69,8.82,paid off
0.42,4.83,default
0.459,8.02,default
0.714,5.07,paid off
0.512,7.91,paid off
0.507,5.33,paid off
0.291,16.38,default
0.772,3.92,paid off
0.364,8.99,default
0.571,4.98,paid off
0.435,11.69,default
0.439,4.86,paid off
0.644,3.17,paid off
0.348,13.93,default
0.448,12.14,default
0.417,13.67,default
0.384,5.36,default
0.36,1.85,paid off
0.393,7.03,default
0.333,12.93,default
0.543,5.75,paid off
0.348,5.08,default
0.598,9.43,paid off
0.649,1.51,paid off
0.694,4.2,paid off
0.493,6.84,paid off
0.619,12.92,paid off
0.61,3.42,paid off
0.664,4.81,paid off
0.265,9.76,default
0.281,8.03,default
0.669,3.1,paid off
0.375,11.78,default
0.231,8.16,default
0.255,8.82,default
0.759,3.94,paid off
0.23,14.63,default
0.419,11.71,default
0.522,12.1,paid off
0.686,7.03,paid off
0.583,11.15,default
0.732,3.23,paid off
0.697,3.94,paid off
0.554,17.26,default
0.493,12.14,default
0.535,4.86,paid off
0.574,5.71,paid off
0.394,11.7,default
0.681,2.51,paid off
0.625,5.31,paid off
0.392,16.85,default
0.523,7.36,default
0.273,5.89,default
0.41,5.34,default
0.528,17.16,default
0.436,5.84,default
0.323,20.0,default
0.558,5.48,paid off
0.345,3.39,paid off
0.625,4.47,paid off
0.509,13.16,default
0.69,2.12,paid off
0.24,9.08,default
0.726,6.31,paid off
0.757,11.2,paid off
0.617,2.26,paid off
0.405,4.96,default
0.476,5.01,paid off
0.331,4.84,default
0.584,4.67,paid off
0.235,7.76,default
0.786,3.61,paid off
0.723,7.96,paid off
0.411,18.82,default
0.63,5.21,paid off
0.307,5.47,default
0.563,5.61,paid off
0.376,7.08,default
0.343,10.53,default
0.452,11.37,default
0.52,11.08,paid off
0.235,10.31,default
0.336,4.03,default
0.565,1.61,paid off
0.753,2.67,paid off
0.535,11.4,paid off
0.537,5.68,paid off
0.6,2.02,paid off
0.66,4.47,paid off
0.624,4.03,paid off
0.612,20.0,default
0.584,6.99,default
0.405,6.2,default
0.599,3.47,paid off
0.705,2.52,paid off
0.316,10.86,default
0.365,7.92,default
0.246,7.93,default
0.231,11.07,default
0.757,8.81,paid off
0.598,11.82,default
0.474,3.39,paid off
0.276,8.47,default
0.684,10.48,paid off
0.503,8.08,default
0.662,7.97,paid off
0.664,7.32,default
0.318,13.25,default
0.356,10.37,default
0.493,3.8,paid off
0.642,4.56,paid off
0.797,4.34,paid off
0.505,7.92,default
0.431,10.32,default
0.351,7.72,default
0.316,10.23,default
0.754,3.44,paid off
0.473,5.6,default
0.365,11.01,default
0.455,7.78,default
0.304,11.46,default
0.676,4.47,paid off
0.39,6.65,default
0.232,12.6,default
0.523,10.11,paid off
0.593,2.82,paid off
0.635,9.89,default
0.745,4.44,paid off
0.319,14.27,default
0.426,8.44,default
0.592,3.71,paid off
0.429,11.71,default
0.263,11.65,default
0.63,3.29,paid off
0.735,2.8,paid off
0.668,4.19,paid off
0.305,18.62,default
0.5,10.11,default
0.54,4.48,paid off
0.354,6.79,default
0.415,7.47,paid off
0.711,8.08,paid off
0.448,6.81,paid off
0.627,3.82,paid off
0.596,2.77,paid off
0.602,5.39,paid off
0.361,6.41,default
0.711,8.91,paid off
0.537,7.15,default
0.363,4.39,default
0.446,8.06,default
0.35,9.83,default
0.254,11.3,default
0.642,2.97,paid off
0.261,6.7,default
0.418,9.1,default
0.39,6.61,default
0.719,6.07,paid off
0.566,10.77,paid off
0.444,11.03,default
0.608,5.03,paid off
0.631,3.98,paid off
0.577,20.0,default
0.678,6.24,paid off
0.503,4.28,paid off
0.369,4.57,paid off
0.236,10.32,default
0.624,10.34,default
0.654,5.8,paid off
0.427,14.4,default
0.478,2.96,paid off
0.302,7.6,default
0.58,4.41,paid off
0.473,15.93,default
0.673,7.45,paid off
0.618,6.44,paid off
0.496,4.11,paid off
0.665,5.18,paid off
0.54,4.54,paid off
0.754,2.61,paid off
0.664,6.79,paid off
0.534,5.83,paid off
0.623,6.77,paid off
0.231,13.7,default
0.679,1.84,paid off
0.6,7.55,default
0.55,6.26,default
0.562,10.21,paid off
0.71,4.59,paid off
0.558,7.84,paid off
0.34,7.62,default
0.565,1.86,paid off
0.218,15.43,default
0.559,3.87,paid off
0.262,13.12,default
0.602,2.03,paid off
0.345,19.36,default
0.371,11.15,default
0.597,5.29,paid off
0.778,8.44,paid off
0.75,13.1,paid off
0.429,12.3,default
0.639,8.65,paid off
0.581,15.76,default
0.435,16.87,default
0.452,15.42,default
0.256,8.36,default
0.279,14.97,default
0.506,9.31,paid off
0.539,7.78,default
0.743,4.15,paid off
0.643,2.3,paid off
0.466,10.3,default
0.211,10.26,default
0.274,8.86,default
0.51,9.28,default
0.283,17.29,default
0.464,8.06,default
0.492,4.31,paid off
0.447,3.89,paid off
0.8,8.64,paid off
0.53,12.21,default
0.355,3.87,paid off
0.611,2.17,paid off
0.329,15.92,default
0.793,3.98,paid off
0.687,4.0,paid off
0.752,5.14,paid off
0.317,15.37,default
0.713,7.73,paid off
0.703,8.85,paid off
0.356,16.57,default
0.416,7.09,default
0.654,4.56,paid off
0.365,9.78,default
0.587,3.97,paid off
0.501,11.85,default
0.651,6.23,paid off
0.726,4.78,paid off
0.493,12.59,default
0.486,8.79,default
0.399,9.05,default
0.56,11.16,default
0.667,6.11,paid off
0.388,6.43,default
0.385,12.16,default
0.518,4.55,paid off
0.516,3.08,paid off
0.489,6.61,default
0.622,14.21,paid off
0.325,7.0,default
0.292,14.25,default
0.282,9.86,default
0.36,13.88,default
0.653,9.45,paid off
0.691,9.84,default
0.605,4.37,paid off
0.217,7.4,default
0.606,4.75,paid off
0.575,5.05,default
0.656,6.27,paid off
0.634,7.01,paid off
0.559,4.42,paid off
0.433,8.2,default
0.659,9.08,default
0.571,6.5,paid off
0.776,2.58,paid off
0.345,15.39,default
0.717,3.37,paid off
0.455,15.64,default
0.42,2.43,paid off
0.687,5.41,paid off
0.583,3.99,paid off
0.545,9.27,default
0.59,4.62,paid off
0.302,19.31,default
0.692,2.07,paid off
0.466,6.03,paid off
0.698,7.51,paid off
0.687,1.57,paid off
0.294,11.94,default
0.558,5.06,default
0.689,8.57,paid off
0.545,3.31,paid off
0.689,7.85,paid off
0.411,9.02,paid off
0.322,13.07,default
0.578,4.0,paid off
0.349,9.88,default
0.772,5.53,paid off
0.62,4.15,paid off
0.577,2.35,paid off
0.356,7.03,default
0.295,16.74,default
0.648,6.32,paid off
0.657,9.24,paid off
0.496,6.97,paid off
0.268,9.34,default
0.672,5.24,paid off
0.483,3.34,paid off
0.481,13.18,default
0.481,9.54,default
0.482,6.51,paid off
0.672,2.31,paid off
0.322,11.81,default
0.569,10.38,paid off
0.509,2.66,paid off
0.485,10.59,default
0.768,3.11,paid off
0.539,12.84,default
0.345,12.74,default
0.493,8.46,default
0.591,11.05,paid off
0.582,7.69,default
0.231,9.04,default
0.795,8.19,paid off
0.343,13.55,default
0.62,6.26,paid off
0.337,9.07,default
0.389,13.84,default
0.3,8.01,default
0.647,3.37,paid off
0.691,4.99,paid off
0.34,6.45,default
0.586,3.3,paid off
0.215,17.99,default
0.65,7.8,paid off
0.343,15.37,default
0.482,11.96,paid off
0.292,6.41,default
0.684,4.98,paid off
0.544,8.11,default
0.259,12.64,default
0.287,20.0,default
0.714,4.65,paid off
0.543,2.33,paid off
0.431,20.0,default
0.573,2.89,paid off
0.355,7.43,default
0.586,10.7,paid off
0.649,4.51,paid off
0.8,2.76,paid off
0.475,10.24,default
0.601,5.49,paid off
0.75,5.26,paid off
0.332,9.64,default
0.297,6.08,default
0.781,4.6,paid off
0.223,7.35,default
0.748,3.29,paid off
0.499,6.19,default
0.561,7.7,paid off
0.511,11.31,default
0.304,10.06,default
0.698,3.64,paid off
0.499,7.7,paid off
0.725,7.48,paid off
0.663,3.68,paid off
0.356,14.14,default
0.557,4.21,paid off
0.463,3.54,paid off
0.677,6.92,paid off
0.639,10.68,paid off
0.443,4.06,paid off
